Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Busse R., Sun L., Zhu V.","Authenticity shortage of corporate social responsibility",2013,"Human Systems Management","32","4",,"243","248",,1,10.3233/HSM-130799,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891069166&partnerID=40&md5=55dd5f4322a080a7678077cfc1935622","School of Management (SOM) of xi'An Jiaotong University (XJTU), No. 28, West of Xian Ning Road, 710049 Xi'an, China; School of Management (SOM) of xi'An Jiaotong University (XJTU), Xi'an, China","Busse R., School of Management (SOM) of xi'An Jiaotong University (XJTU), No. 28, West of Xian Ning Road, 710049 Xi'an, China, School of Management (SOM) of xi'An Jiaotong University (XJTU), Xi'an, China; Sun L., School of Management (SOM) of xi'An Jiaotong University (XJTU), Xi'an, China; Zhu V., School of Management (SOM) of xi'An Jiaotong University (XJTU), Xi'an, China","Has corporate social responsibility (CSR) ever been authentic, and if not, is that bad? This paper critically extends the lively debate on domestic versus overseas CSR in four ways: First, it identifies CSR to be a trouble spot in the global strategy field. Second, it amplifies the scope of a motive-related view on CSR. Third, it offers three disputable answers to the question if CSR cuts into profits. Fourth, it gets an interdisciplinary perspective on the so far rather management-focused board of the CSR boat. The article propels to advance CSR research as it shifts the agreed-upon spotlight of attention to advocate a less mainstream perspective: Does the driving force behind CSR matter? © 2013 - IOS Press and the authors. All rights reserved.","Authenticity; Business ethics; Corporate social responsibility; CSR; Duality; Entrepreneurial motives; Financial performance; Global strategy; Green-washing; Social performance","Authenticity; Business ethics; Corporate social responsibilities (CSR); CSR; Duality; Entrepreneurial motives; Financial performance; Global strategies; Green-washing; Social performance; Systems science; Management","Busse, R.; School of Management (SOM) of xi'An Jiaotong University (XJTU), No. 28, West of Xian Ning Road, 710049 Xi'an, China; email: ronaldbusse@gmx.de",,,01672533,,HSMAD,,"English","Hum Syst Manage",Article,Scopus,2-s2.0-84891069166
"Thornton J.C., Byrd J.T.","Social responsibility and the small business",2013,"Academy of Entrepreneurship Journal","19","1",,"41","76",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891056224&partnerID=40&md5=9fe5f0d1a2c375c5c6029b001705d3ed","Bellarmine University, United States","Thornton J.C., Bellarmine University, United States; Byrd J.T., Bellarmine University, United States","The focus of social responsibility concentrates primarily on large businesses. This can be seen in the wording of ""corporate responsibility"" as well as most of the research regarding social responsibility. Although small businesses make up fifty-one per cent of gross domestic product, and account for approximately fifty percent of United States employment, research on them is minimal compared to large firms. The literature is dominated by large multinational organizations. More research needs to be focused on the small business enterprise. This article provides the results of a study of social responsibility in a select group of small businesses. Chief Executive Officer owners of privately owned manufacturing companies participated in the study. Approximately half of the firms representing four regions in the United States publicly proclaimed a commitment to social responsibility. The other half were selected with no knowledge of their orientation to social responsibility. The results provide meaningful insights into the nature of social responsibility in small business.",,,"Thornton, J.C.; Bellarmine UniversityUnited States",,,10879595,,,,"English","Acad. Entrep. J",Article,Scopus,2-s2.0-84891056224
"Smith D.K.","Pandora investments wurundi, Inc",2013,"Journal of the International Academy for Case Studies","19","5",,"59","72",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891135111&partnerID=40&md5=a4504a415a2a7a350fb4ed4d5531a910","Baze University, Nigeria","Smith D.K., Baze University, Nigeria","Ever wished you had a case to sensitize students to some of the legal and/or ethical challenges faced by multinational businesses and businesspeople in developing markets like the BRICs (Brazil, Russia, India, and China)? While this case is not from one of the BRIC countries, it does take place in a large developing world country, and it does illustrate very clearly some of the legal and/or ethical dilemmas faced by multinational businesspeople and companies (especially U.S. and/or U.K companies and businesspeople) in developing world markets. The case is appropriate for senior-level undergraduates as well as students in MBA and Executive Development programs. It is designed to be taught in a one hour and a half class session, and is likely to require at least a couple hours of preparation by students;. Mr. Mike Adams is Vice President and General Manager of Pandora Investments Wurundi Inc., the Wurundian subsidiary (Wurundi is a real country in Africa and Pandora is a real company; for purposes of this case study, however, both the country and the company must remain disguised) of a New York Stock Exchange (NYSE) listed U.S. multinational company called Pandora Investments Group, Inc. While it is listed on the NYSE, Pandora Investments Group has very substantial operations in the UK. Pandora Investments Wurundi, Inc. (hence, PIWI) recently completed (under a contract valued at approximately $2,000,000) a gas transportation network code for the parastatal company in Wurundi called Gasco Wurundi Ltd. (hence, GWL). GWL's role in Wurundi includes creating the hard and soft infrastructure needed to move natural gas around the country. While all the key stakeholders (management of GWL, management of PIWI, etc.) agree that PIWI has successfully completed the gas transportation network code project and that all the work done by PIWI and its consultants has been truly world-class, GWL has not yet paid PIWI for its work. Earlier today, a senior executive at GWL (his name is Mr. Jonas Adorande) indicated to Adams that before he (that is, Adorande) signs off on the project (one of the required steps in GWL's payment process), Adams will need to give him (in unmarked bank notes) approximately $50,000. Additional data and information in the case include:. 1. Regarding the project: an explanation of what a gas transportation network code is, and why a country having natural gas needs one. 2. Regarding the company (PIWI): Because PIWI has in the past operated extremely successfully in a very challenging developing world market (that is, Wurundi), information is provided on PIWI's business model plus the company's past and current performance and factors impacting that performance over the years. 3. Regarding the Wurundian parastatal (that is, PIWI's customer): Background information, current performance, and factors impacting that performance. 4. Regarding Wurundi: Like China and India and some other developing world markets, even during the current economic crisis, the economy of Wurundi has continued to grow vigorously. To give students a sense of the opportunities available in the developing world, a bit of information is provided on the country disguised as Wurundi and the performance of that country's economy over the last several years. 5. Regarding US and UK laws regarding the overseas behavior of US and UK corporations and executives: Summaries of the Foreign Corrupt Practices Act (FCPA) and the UK Bribery Act, plus implications of those acts for U.S and U.K. companies and businesspeople operating overseas, are provided. In addition, a discussion is provided regarding the difference between actions which are legal(or illegal) and actions which are ethical (or unethical). © 2013 by Jordan Whitney Enterprises, Inc, Arden NC, USA.",,,"Smith, D.K.; Baze UniversityNigeria",,,10784950,,,,"English","J. Int. Acad. Case Stud.",Article,Scopus,2-s2.0-84891135111
"Kong D.","Does corporate social responsibility affect the participation of minority shareholders in corporate governance?",2013,"Journal of Business Economics and Management","14","SUPPL1",,"S168","S187",,1,10.3846/16111699.2012.711365,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890956250&partnerID=40&md5=b5a3ae48532707dab66092b7ace90674","School of Economics, Huazhong University of Science and Technology, China Luoyu Road 1037#, Wuhan 430074, China; Sun Yat-sen Business School, Sun Yat-sen University, China, Guangzhou 510275, China","Kong D., School of Economics, Huazhong University of Science and Technology, China Luoyu Road 1037#, Wuhan 430074, China, Sun Yat-sen Business School, Sun Yat-sen University, China, Guangzhou 510275, China","Using a unique minority shareholders voting dataset, we aim to shed light on several important issues on corporate governance and investor protection. Specifically, we first examine the effects of social responsibility (CSR) on minority shareholder participation (MSP). Then, we investigate whether the mounting attention to CSR due to certain events has marginal effects on MSP, and whether CSR and MSP affect firms' market performances. Collectively, we find that: 1) firms' CSR levels significantly affect MSP and can substitute the governance role of minority shareholders to some extent; 2) exogenous shocks related to CSR can significantly affect MSP; and 3) firms with higher CSR level and lower MSP enjoy higher market value improvements. In addition, we find limited evidence that institutional investors may face conflict-of-interest pressures and vote against individual investors. Our results are robust to alternative specifications and offer significant policy implications. © 2013 Copyright Vilnius Gediminas Technical University (VGTU) Press Technika.","China's stock market; corporate social responsibility; minority shareholder participation; online voting",,"Kong, D.; School of Economics, Huazhong University of Science and Technology, China Luoyu Road 1037#, Wuhan 430074, China; email: kongdm@mail.hust.edu.cn",,,16111699,,,,"English","J. Bus. Econ. Manage.",Article,Scopus,2-s2.0-84890956250
"Hassan B.R.A., Latif R.A.","Epistephilic forces in Malaysian indie documentary",2013,"Journal of Asian Pacific Communication","23","2",,"291","308",,,10.1075/japc.23.2.09abu,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890949872&partnerID=40&md5=bf8fe272c1a2dbfe63a16b635456f547","Universiti Kebangsaan Malaysia, Taylor's University, Lakeside Campus, Malaysia; School of Media and Communication Studies, Faculty of Social Sciences and Humanities, Universiti Kebangsaan Malaysia, Bangi 43600, Selangor, Malaysia","Hassan B.R.A., Universiti Kebangsaan Malaysia, Taylor's University, Lakeside Campus, Malaysia, School of Media and Communication Studies, Faculty of Social Sciences and Humanities, Universiti Kebangsaan Malaysia, Bangi 43600, Selangor, Malaysia; Latif R.A., Universiti Kebangsaan Malaysia, Taylor's University, Lakeside Campus, Malaysia, School of Media and Communication Studies, Faculty of Social Sciences and Humanities, Universiti Kebangsaan Malaysia, Bangi 43600, Selangor, Malaysia","Documentary film has established itself as an important spatial extension of this nation's historicity. This paper explores the terrains of this critical transformational space which in recent years, has been dominated arguably increasingly, by a cohort of 'socialist' filmmakers. That such an 'alternative/independent' group of documakers - a label it is often associated with - edges over the 'mainstream' ones in terms of its worthiness, timeliness and relevance of an issue, debate or perspective, is a claim or perception that needs to be qualified in this paper. Notable documakers gave in-depth interviews on their creative works and issues of nation building both in shaping the trajectory of 'alternative' documentary, hence, sustaining a potentially transformative public sphere. This paper will engage in analyzing critical and defining documentary works as its mode of inquiry followed by the discourses gleaned from the interviews. © John Benjamins Publishing Company.","Alternative documentary; Epistephilia; Social engagement; Transformative public sphere; Web 2.0",,"Universiti Kebangsaan Malaysia, Taylor's University, Lakeside CampusMalaysia",,,09576851,,,,"English","J. Asian Pac. Commun",Article,Scopus,2-s2.0-84890949872
"Škare M., Golja T.","How important are CSR companies for nations' growth?",2013,"Journal of Business Economics and Management","14","4",,"776","790",,,10.3846/16111699.2013.820664,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890144697&partnerID=40&md5=62240cef079b6ad6a9bc7174477af8ca","Juraj Dobrila University of Pula, Preradovićeva 1, 52100 Pula/Istria, Croatia","Škare M., Juraj Dobrila University of Pula, Preradovićeva 1, 52100 Pula/Istria, Croatia; Golja T., Juraj Dobrila University of Pula, Preradovićeva 1, 52100 Pula/Istria, Croatia","The paper provides new empirical evidence on the positive link between corporate social responsibility and income growth. Using available data for 26 countries over 2000-2008 we investigate cross-country growth differences by adding new variable (corporate social responsibility) to the standard growth regression model. We show that corporate social responsibility impact on growth is statistically significant but limited in size. Moreover, the inclusion of corporate social responsibility variable improves the fit of the regression. Countries with higher corporate social responsibility penetration as India achieve higher income growth rates. Evidence of the positive link between corporate social responsibility presented in this study encourage but further research on mechanism how socially responsible behavior affects growth is necessary. © 2013 Vilnius Gediminas Technical University (VGTU) Press Technika.","Corporate social responsibility; Cross country growth; Dynamic panel; Social impact hypothesis",,"Škare, M.; Juraj Dobrila University of Pula, Preradovićeva 1, 52100 Pula/Istria, Croatia; email: mskare@unipu.hr",,,16111699,,,,"English","J. Bus. Econ. Manage.",Article,Scopus,2-s2.0-84890144697
"Pérez A., del Bosque I.R.","Extending on the formation process of CSR image",2013,"Social Marketing Quarterly","19","3",,"156","171",,2,10.1177/1524500413489287,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890156692&partnerID=40&md5=5c7a2c616cca2f1596d132b1f1e1af61","University of Cantabria, Cantabria, Spain","Pérez A., University of Cantabria, Cantabria, Spain; del Bosque I.R., University of Cantabria, Cantabria, Spain","In this article, the authors aim to clarify the process that leads customers to form a certain corporate social responsibility (CSR) image of their banking service providers. The authors analyze whether the proposals of associative learning theory, attribution theory, and persuasive communication are adequate to anticipate CSR image in a banking services context. A causal model is positively tested that allows the researchers to anticipate CSR image based on three variables: the coherence between the company and its CSR policy, the attribution of altruistic motivations for the company to implement CSR activities, and corporate credibility in developing CSR initiatives. Two new contributions to literature are made. First, the process is accepted in a context where CSR is a broad corporate strategy that includes significantly more initiatives than just cause-related marketing or the sponsorship of social causes. Second, the role of both company-CSR coherence and altruistic motivations is better explained in this article. Their influence on CSR image seems to be dependent upon the current situation of the international banking industry. © The Author(s) 2013.","Altruistic motivations; Banking industry; Company-CSR coherence; Corporate credibility; CSR image",,"del Bosque, I. R.; Área de Comercialización e Investigación de Mercados, Universidad de Cantabria, Avda. Los Castros s/n, Santander (Cantabria) 39005, Spain; email: perezran@unican.es",,,15245004,,,,"English","Soc. Mark. Q.",Article,Scopus,2-s2.0-84890156692
"Dorrestijn S., Verbeek P.-P.","Technology, wellbeing, and freedom: The legacy of utopian design",2013,"International Journal of Design","7","3",,"45","56",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889640555&partnerID=40&md5=4a1af007e1529791dea8e36864140236","Department of Industrial Design, University of Twente, Enschede, Netherlands; Department of Philosophy, University of Twente, Enschede, Netherlands","Dorrestijn S., Department of Industrial Design, University of Twente, Enschede, Netherlands; Verbeek P.-P., Department of Philosophy, University of Twente, Enschede, Netherlands","This paper is about the application of user-influencing design for improving wellbeing, focusing on the ethical issue of finding the right balance between determination and freedom. Two contemporary approaches for user-influencing design, ""Persuasive Technology"" and ""Nudge,"" are discussed against the background of social engagement in the history of design. What can be learned from the past? The most explicit but also contested examples of improving people's lives by means of design can be found in movements of ""utopian design."" We discuss the utopian aspirations in Arts and Crafts, New Objectivity, Gute Form, and Postmodernism. The major lesson to be learned is that it is necessary to find a way out of the repeated ethical dilemma between coercing human behavior on the one hand and fostering human freedom on the other. Following Michel Foucault, we will conceptualize freedom not as the absence of influences on people, but as a practice of shaping one's life in interaction with these influences. User-influencing design methods can help to prolong the tradition of socially engaged design, with tempered, non-utopian goals, but at the same time with improved understanding and more effective tools concerning how technology mediates our existence. © 2013 Dorrestijn & Verbeek.","Design for wellbeing; Ethics; Freedom; Nudge; Persuasive technology; User-influencing technology; Utopian design",,"Dorrestijn, S.; Department of Industrial Design, University of Twente, Enschede, Netherlands; email: s.dorrestijn@utwente.nl",,,19913761,,,,"English","Int. J. Des.",Article,Scopus,2-s2.0-84889640555
"Baddache F., Nicolai I.","Follow the leader: How corporate social responsibility influences strategy and practice in the business community",2013,"Journal of Business Strategy","34","6",,"26","35",,,10.1108/JBS-01-2013-0002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889015791&partnerID=40&md5=ee086b34f17c918988d81582a50cbb00","REEDS, University of Versailles Saint Quentin en Yvelines, Guyancourt, France","Baddache F., REEDS, University of Versailles Saint Quentin en Yvelines, Guyancourt, France; Nicolai I., REEDS, University of Versailles Saint Quentin en Yvelines, Guyancourt, France","Purpose: Companies face increasing pressure from stakeholders to play a leading role in addressing a wide array of environmental, social, and governance issues. What are the relevant and responsible contributions that corporations are expected to provide in support of defining solutions to sustainability issues? This paper shows how corporate social responsibility (CSR) has become a negotiation process to help corporations manage uncertainties through collaborative work and alignment with stakeholders. From that angle, CSR is a process that generates standard and acceptable business practices. Design/methodology/approach: This paper uses both an adductive as well as an interpretative approach of CSR and looks at CSR as a collaborative process that builds rules and norms. Findings: CSR is defined as a contractual process between stakeholders in order to drive decision making processes and agree on commitments between business and society. Interestingly, all studied examples depict the development of standard and acceptable business practices with very little involvement of stakeholders, which is not the understood way of driving changes to business strategy as defined by the CSR negotiation processes. Practical implications: A framework is presented linking CSR business practices research findings to empirical market isomorphism. The paper is of practical relevance for management practitioners. The limitations of recent research are also discussed. Originality/value: Our examples show that CSR is no more than the achievements of fragmented initiatives led by companies showing limited transparency toward external stakeholders. There is no overall coordination. The paper is original in its recommendation that public authorities play a strategic role showing clear direction, and establish themselves as a strategic platform enabling more engagement between stakeholders. © Emerald Group Publishing Limited.","CSR business practices; Institutionalism; Isomorphism; Negotiation; Network organization; Stakeholder theory",,"Nicolai, I.; REEDS, University of Versailles Saint Quentin en Yvelines, Guyancourt, France; email: isabelle.nicolai@uvsq.fr",,,02756668,,,,"English","J. Bus. Strategy",Article,Scopus,2-s2.0-84889015791
"Jose S., Buchanan F.R.","Marketing at the bottom of the pyramid: Service quality sensitivity of captive microfinance borrowers",2013,"Journal of Consumer Marketing","30","7",,"573","582",,2,10.1108/JCM-03-2013-0499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889064746&partnerID=40&md5=2ade86bd3a66b8a47faea37069419d7f","Abu Dhabi University, Abu Dhabi, United Arab Emirates","Jose S., Abu Dhabi University, Abu Dhabi, United Arab Emirates; Buchanan F.R., Abu Dhabi University, Abu Dhabi, United Arab Emirates","Purpose: The aim of this paper is to survey the working poor who are microfinance borrowers, examining their perceptions of customer satisfaction and corporate social responsibility. Design/methodology/approach: Validated scale measures were presented in a cross-sectional field study survey of 201 respondents. OLS regression was used after determining factor loadings and reliabilities. Findings: Customer dissatisfaction with the microfinance product, lack of commitment from lender's staff, and dissatisfaction with informational support, were all significantly related to future purchase intentions. Only dissatisfaction toward the firm's people was significantly related to perceptions of CSR. Practical implications: Dissatisfied poor would prefer to buy elsewhere, even if they find the seller to be socially responsible. However, attitudes and behaviors of the firm's agents convey low CSR. Microfinance customers were sensitive to customer service. Service quality was also significantly related to their perceptions of CSR. Originality/value: This exploratory research is novel, examining stakeholders at the bottom of the pyramid. Indian respondents came from the origins of microfinance, and are seldom sampled. Despite being captive customers with few alternatives, microfinance borrowers are sensitive to customer service. This service is also significantly related to their perceptions of CSR. © Emerald Group Publishing Limited.","Bottom of the pyramid; Corporate social responsibility; Microfinance",,"Buchanan, F. R.; Abu Dhabi University, Abu Dhabi, United Arab Emirates; email: dr.bob.edu@gmail.com",,,07363761,,,,"English","J. Consum. Mark.",Article,Scopus,2-s2.0-84889064746
