Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"David P., Bloom M., Hillman A.J.","Investor activism, managerial responsiveness, and corporate social performance",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846090255&partnerID=40&md5=a0e09d19cb4abdf1b87f35959e811fa5","We study relationships between shareholder proposal activism, managerial response, and corporate social performance (CSP). We find that shareholder proposal activism reduces CSP. We infer that rather than pressuring firms to improve CSP, activism may engender diversion of resources away from CSP into political activities used by managers to resist external pressures and retain discretion. We also find that managers are more likely to settle proposals filed by 'salient' shareholders (i.e., those with power, legitimacy, and urgency). Settlement with salient shareholders, however, also reduces CSP, suggesting that managers' responses are symbolic; i.e., they settle with salient shareholders to demonstrate conformance but continue to resist making the substantive changes to core policies that may compromise their discretion. Copyright © 2007 John Wiley & Sons, Ltd.","Corporate governance; Corporate social performance; Investor activism","Economic and social effects; Industrial economics; Investments; Managers; Corporate governance; Corporate social performance (CSP); Investor activism; Shareholders; Industrial management"
"Goodstein J.D., Wicks A.C.","Corporate and stakeholder responsibility: Making business ethics a two-way conversation",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447618392&partnerID=40&md5=ab40b6f584f67e43188a45ff805295ac","In this article we revisit the notion of stakeholder responsibility as a way to highlight the role that stakeholders have in creating an ethical business context. We argue for modifying the prevailing focus on corporate responsibility to stakeholders, and giving more serious attention to the importance of stakeholder responsibility - to firms, and to other stakeholders who are part of the collective enterprise. We elaborate why stakeholder responsibility matters, and suggest how making stakeholder responsibility a central focus of academics and practitioners can redefine the interaction between firms and stakeholders and ultimately enhance business excellence. © 2007. Business Ethics Quarterly.",,
"Weber J.A.","Business ethics training: Insights from learning theory",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845604716&partnerID=40&md5=2cbe93bdc54fd9c6ee1e253baeb9778f","This paper explores research in educational psychology and learning theory in a search for insights to enhance business ethics training Useful educational principles uncovered are then applied to the development of an ethics training initiative for sales professionals. The paper concludes with suggestions for future research to help enrich business ethics training. © 2006 Springer Science+Business Media, Inc.","Business ethics; Business ethics training; Ethical decision-making; Facilitator-participant interaction; Inductive learning; Self-discovery; Selling ethics; Unethical selling behavior",
"Hill R.P., Ainscough T., Shank T., Manullang D.","Corporate social responsibility and socially responsible investing: A global perspective",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846117956&partnerID=40&md5=4dec164c2a10e33bcea85d3582f0705d","This research examines the relationship between corporate social responsibility (CSR) and company stock valuation across three regions of the world. After a brief introduction, the article gives an overview of the evolving definition of CSR as well as a discussion of the ways in which this construct has been operationalized. Presentation of the potential impact of corporate social performance on firm financial performance follows, including investor characteristics, the rationale behind their choices, and their influence on the marketplace for securities worldwide. The unique method used to select socially responsible investments is then provided that also includes a description of the quantitative techniques employed in the analyses. Results are offered subsequently, and the close describes implications for global enterprises as socially responsible investments. © Springer Science+Business Media B.V. 2007.","Corporate social responsibility; Global investments",
"Egels-Zandén N., Wahlqvist E.","Post-partnership strategies for defining corporate responsibility: The business social compliance initiative",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846057487&partnerID=40&md5=6327a858ca2c6e4ee15acb114218bbc4","While cross-sectoral partnerships are frequently presented as a way to achieve sustainable development, some corporations that first tried using the strategy are now changing direction. Growing tired of what are, in their eyes, inefficient and unproductive cross-sectoral partnerships, firms are starting to form post-cross-sectoral partnerships (post-partnerships') open exclusively to corporations. This paper examines one such post-partnership project, the Business Social Compliance Initiative (BSCI), to analyse the possibility of post-partnerships establishing stable definitions of corporate responsibility'. We do this by creating a theoretical framework based on actor-network theory (ANT) and institutional theory. Using this framework, we show that post-partnerships suffer from the paradox of striving to marginalise those stakeholders whose support they need for establishing stable definitions of corporate responsibility'. We conclude by discussing whether or not post-partnership strategies, despite this paradox, can be expected to establish stable definitions of corporate responsibility'. © Springer Science+Business Media B.V. 2007.","Actor-network theory (ANT); Business Social Compliance Initiative (BSCI); Codes of conduct; Corporate responsibility; Garment industry; Institutional theory; Partnership; Supplier relations",
"Hasnas J.","Up from flatland: Business ethics in the age of divergence",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547126001&partnerID=40&md5=9f0f113882ad5cf20e23150c4fee56d1","The corporate scandals of the past few years have brought renewed attention to the problem of curtailing dishonest and fraudulent business practices, a problem on which strategic, ethical, and law enforcement interests should be aligned. Unfortunately, several features of federal criminal law and federal law enforcement policy have driven a wedge into this alignment, forcing managers to choose between their ethical obligations and their obligation to obey the law or aid law enforcement. In this article, I examine the nature and implications of the growing divergence between managers' ethical and legal obligations. After describing the traditional approach to business ethics analysis, I identify the features of federal criminal law and law enforcement policy that are responsible for the divergence and show how they are undermining the efficacy of the traditional approach. I illustrate this effect with the issue of workplace confidentiality. I then argue that the traditional approach must be reformed to give explicit recognition to the legal dimension of normative analysis, and demonstrate how such a reformed approach would function by applying it to three illustrative issues - organizational justice, privacy, and ethical auditing - and supplying a case study - KPMG's allegedly abusive tax shelters. © 2007. Business Ethics Quarterly.",,
"Moberg D.J.","Practical wisdom and business ethics",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447637391&partnerID=40&md5=ee13e3f26d32df7b06bf669c4794c4a5","Practical wisdom has received scant attention in business ethics. Defined as a disposition toward cleverness in crafting morally excellent responses to, or in anticipation of, challenging particularities, practical wisdom has four psychological components: knowledge, emotion, thinking, and motivation. People's experience, reflection, and inspiration are theorized to determine their capacity for practical wisdom-related performance. Enhanced by their abilities to engage in moral imagination, systems thinking, and ethical reframing, this capacity is realized in the form of wisdom-related performance. This can be manifested either in wise business decisions or through their performance as mentors, advice givers, or dispute handlers. © 2007. Business Ethics Quarterly.",,
"Mainela T.","Types and functions of social relationships in the organizing of an international joint venture",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37349013514&partnerID=40&md5=c849b04594b3f250a3b79adb8d47ec25","This paper examines the use of social relationships in the organizing of a business network in the case of an international joint venture (IJV) developing over time. The organizing process and the multicultural setting of the international joint venture emphasize the actions of and interactions between individuals from various organizations. The IJV-managers' use of their social relationships in business organizing is explored through analysis of narratives of IJV-managers in a longitudinal single case to provide empirically grounded theory. From the in-depth interviews with IJV-managers the business relationships are identified as characterized by four possible levels of interpersonal relationships whose type influences the functions of the relationships and visa versa. One business relationship may contain only one or many of these interpersonal levels and an effective business relationship contains the appropriate interpersonal level for the business issue at hand. © 2005 Elsevier Inc. All rights reserved.","Joint venture; Network; Organizing; Social relationship",
"Zink K.J.","From total quality management to corporate sustainability based on a stakeholder management",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951974285&partnerID=40&md5=d7919c0b5adb7f7794eae9238ee547db","Purpose: The purpose of this paper is to analyze the development of total quality management (TQM) from the very beginning to the present and to give a proposal for a redefinition for the future. Design/methodology/approach: To reach this purpose, experiences and problems from the past are described and corporate sustainability as a new frame discussed. Findings: Many attempts to imitate the ""Japanese Way"" in Western companies failed, because they were only using some instruments (often focused on product quality) and not understanding the necessity of a fundamental change of culture. Globalization and international competition lead to the introduction of National Quality Awards and their use by a growing number of companies. But the term of ""quality"" was not promoting these concepts, therefore all international award models do not use the term quality any longer. And as TQM has also been driven by consultants, many companies gave up this approach. As the contents of TQM are still a necessity for any organization, one has to look for a new headline representing identical contents. Using, e.g. the early ISO definition of TQM one can see that sustainable success has been related to a stakeholder approach. Therefore, corporate sustainability based on a stakeholder approach would be a future-oriented concept to replace the name of TQM - but not the content. Originality/value: This paper shows a new - or until now not extensively discussed - perspective for the understanding of TQM. © Emerald Group Publishing Limited.","Corporate strategy; Stakeholder analysis; Sustainable development; Total quality management",
"Fowler S.J., Hope C.","Incorporating sustainable business practices into company strategy",2007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846323589&partnerID=40&md5=97c1a91abff41ac6b030700d4b9765e1","Building on Hart's natural resource-based view of the firm, this paper reports the results of a case study of the privately owned, high-end outdoor apparel company Patagonia. In this study we examined Hart's three interlinking strategies of pollution prevention, product stewardship and sustainable development, and sought to test whether the resources for their implementation must be accumulated sequentially or whether they can be accumulated in parallel. The case study revealed that Patagonia has made significant progress, and continues to make progress, in each of these three areas. The results also suggested that the company's progress in one area has not necessarily been dependent on progress in another. While acknowledging the limitations of a single case study, we conclude that Patagonia's experience offers strong support for the notion that the resources for implementing strategies towards sustainable development can be accumulated in parallel - as opposed to sequentially. Copyright © 2006 John Wiley & Sons, Ltd and ERP Environment.","Patagonia; Resource-based view; Sustainability; Sustainable business practices","corporate strategy; economic instrument; implementation process; pollution control; sustainability; sustainable development; trade-environment relations"
