Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Besser T.L., Miller N.J.","The company they keep: How formal associations impact business social performance",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959910769&partnerID=40&md5=860ce5bfdb9f88256e57c70a9552f94f","Business networks, which include joint ventures, supply chains, industry and trade associations, industrial districts, and community business associations, are considered the signature organizational form of the global economy. However, little is known about how they affect the social performance of their members. We utilize institutional theory to develop the position that business social performance has collectivist roots that deserve at least as much scholarly attention as owner/manager characteristics and business attributes. Hypotheses are tested using multilevel analysis on data gathered from 898 members of twenty-nine business associations. Support is provided for institutional theorys explanation for business social performance. Members of business associations are likely to conform to the pattern of social performance prevailing in their association, but not necessarily to the articulated values of the association. The potential of business associations to influence members' social performance should be considered by agencies that start and support them as mechanisms for regional and local economic development.",,
"Chabowski B.R., Mena J.A., Gonzalez-Padron T.L.","The structure of sustainability research in marketing, 1958-2008: A basis for future research opportunities",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650994205&partnerID=40&md5=e16f9e58913a001c57c22e4a25fec4ce","Recent changes in the business environment have prompted marketing scholars to pay particular attention to sustainability as a topic of inquiry. Despite the progress made in the study of sustainability, there is a paucity of research on the topic in premier marketing journals. To address this issue, we focus on marketing-related journals and assess the intellectual structure of sustainability research in detail. Drawing on social network theory, we perform an extensive co-citation analysis using multidimensional scaling to examine 76,342 citations made in 1,320 sustainability-focused articles from 36 journals over 51 years (1958-2008). This study specifies that the topics of citizenship behavior, stakeholder theory, corporate performance, and the triple bottom line are integral sustainability research areas. In addition, the results indicate five required topics for examining sustainability in the marketing context: external-internal focus, social-environmental emphasis, legal-ethical-discretionary intent, marketing assets, and financial performance. Supported by the capabilities-based resource perspective, the sustainability-focused typology and framework advanced provide directed structure for future research. © 2010 Academy of Marketing Science.","Bibliometric analysis; Corporate environmental performance; Corporate environmental responsibility; Corporate responsibility; Corporate social performance; Corporate social responsibility; Intellectual structure; Longitudinal analysis; Marketing-finance interface; Multidimensional scaling; Social network theory; Sustainability; Triple bottom line",
"Orlitzky M.","Institutional logics in the study of organizations: The social construction of the relationship between corporate social and financial performance",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959870534&partnerID=40&md5=70d67f10d7637347720f913fb6974dff","This study examines whether the empirical evidence on the relationship between corporate social performance (CSP) and corporate financial performance (CFP) differs depending on the publication outlet in which that evidence appears. This moderator meta-analysis, based on a total sample size of 33,878 observations, suggests that published CSP-CFP findings have been shaped by differences in institutional logics in different subdisciplines of organization studies. In economics, finance, and accounting journals, the average correlations were only about half the magnitude of the findings published in Social Issues in Management, Business Ethics, or Business and Society journals (mean corrected correlation coefficient p of .22 vs. .49, respectively). Specifically, economists did not find null or negative CSP-CFP correlations, and average findings published in general management outlets (ρ̄ = A1) were closer to Social Issues in Management, Business Ethics, and Business and Society results than to findings reported in economics, finance, and accounting journals. © 2011 Business Ethics Quarterly.",,
"Blazovich J.L., Smith L.M.","Ethical corporate citizenship: Does it pay?",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877803912&partnerID=40&md5=2717b3290dde0b32c9e4ae09e0b72e5d","Ethical corporate citizenship and good corporate governance have received increased attention since the financial scandals prevalent at the beginning of the new millennium. This study first explores the relationship of ethical corporate citizenship to financial performance (i.e., greater profitability and efficiency, and lower cost of capital). Second, the study examines whether ethical corporate behavior is associated with a marketvalue premium. Results of prior studies are mixed. The results of our study contribute directly to the recent accounting literature in which specific aspects of ethical corporate behavior have been explored (Fukami et al. 1997; Ittner and Larker, 1998; Ballou et al., 2003; Clarkson et al., 2004). We use firms listed by Business Ethics as ""The 100 Best Corporate Citizens"" as our sample of ethical firms. The univariate results of our study indicate a significant relationship between ethical corporate behavior and financial performance (i.e., greater profitability and efficiency, and lower cost of capital). The results of multivariate tests, controlling for prior year market value of equity, yield results that indicate a marginally significant association between being recognized as ethical in that year and market value of equity, but no association between being recognized as ethical at least one time and market value of equity. Nevertheless, given our study's findings of better financial performance and lower risk, we conclude that ethical corporate citizenship does indeed benefit a firm. © Copyright 2011 by Emerald Group Publishing Limited.","Accounting ethics; Corporate citizenship; Corporate social responsibility",
"Ye K., Xiong B.","Corporate social performance of construction contractors in China: Evidences from major firms",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894249307&partnerID=40&md5=48e9da6257bbc95bea125d9f0929c844","Corporate social responsibility (CSR) has been attracting much attention and been highlighted in competitive strategies of Chinese construction firms (CCFs). Whereas recent years have seen the burgeoning awareness of CSR in China, the corporate social performance (CSP) of CCFs is still unsatisfactory. The poor performance is attributable to many facets particularly including that CCFs are not well informed of CSR practices and thus cannot make due response to stakeholders' expectation. This research aims to identify what aspects can be taken for other construction businesses in China in the near future. Through comparing five major CCFs with four foreign enterprises, both excelling in CSP, it is found that CCFs' CSR has been carried in many China- and construction- specific ways. The research findings provide useful guidelines on construction business in CSR engagement, and lay a foundation for future studies in the area. © The Hong Kong Polytechnic University.","China; Comparative study; Construction contractors; Corporate social performanc; Corporate social responsibility","Construction industry; Economic and social effects; Project management; China; Comparative studies; Construction contractors; Corporate social performanc; Corporate social responsibilities (CSR); Contractors"
"Ditlev-Simonsen C.D., Midttun A.","What motivates managers to pursue corporate responsibility? a survey among key stakeholders",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78751685306&partnerID=40&md5=5a236e1c069735fa5ec987ab350d1db7","Following several decades of scholarship with several disciplinary points of departure, there is today a great heterogeneity of theories and approaches to Corporate Responsibility (CR). Taking a pragmatist position, this paper takes some of the most central theoretic perspectives on CR and exposes them to an evaluation by three panels: corporate leaders, MSc students and NGOs. The purpose of the paper is to clarify and compare what these panels think motivates mangers to pursue CR from a positivist and normative perspective. We find that the three panels are in surprising agreement as to what they assume motivates managers to pursue CR and what should motivate the same managers. We also see a large discrepancy between what they think motivates and what should motivate managers. Branding, stakeholders, and value maximization are assumed to be key motivators, whereas sustainability and branding should be the key motivators. Copyright © 2010 John Wiley & Sons, Ltd and ERP Environment.","Business ethics; Business paradigms; Corporate (Social); Motivation; NGO; Responsibility; Stakeholder; Sustainability; Sustainable development",
"Bhattacharya C.B., Sen S., Korschun D.","Leveraging Corporate Responsibility: The stakeholder route to maximizing business and social value",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924493396&partnerID=40&md5=dd238d902654fa907890d18fb7d95d00","The corporate social and environmental responsibility movement, known more generally as corporate responsibility (CR), shows little sign of waning. Almost all large corporations now run some form of corporate responsibility program. Despite this widespread belief that CR can simultaneously improve societal welfare and corporate performance, most companies are largely in the dark when it comes to understanding how their stakeholders think and feel about these programs. This book argues that all companies must understand how and why stakeholders react to such information about companies and their actions. It examines the two most important stakeholder groups to companies – consumers and employees – to comprehend why, when and how they react to CR. Armed with this insight, it shows how companies can maximize the value of their CR initiatives by fostering strong stakeholder relationships to develop, implement and evaluate compelling social responsibility programs that generate value for both the company and its stakeholders. © CB Bhattacharya, Sankar Sen and Daniel Korschun 2011.",,
"Walters G.","The implementation of a stakeholder management strategy during stadium development: A case study of Arsenal Football Club and the Emirates Stadium",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79551519653&partnerID=40&md5=6bdd265a356e290a1b09f047a69eb12a","The relocation to new stadium developments has been a key trend within the football industry since 1990. For a stadium development to contribute positively to the area in which it is built and maximize the benefits for a range of stakeholder groups, it is important that a stakeholder management strategy is implemented consisting of two key components: stakeholder engagement and stakeholder participation. This article presents a case study of the stakeholder management strategy implemented by Arsenal Football Club during the development of the Emirates Stadium. Based primarily on the analysis of documentary secondary data supported by a small number of semi-structured interviews, the case study uses the theoretical literature on stakeholder management as a framework. It evaluates the extent to which the football club considered the needs and interests of different stakeholder groups during the development of the Emirates Stadium. Case study analysis shows that the stakeholder management strategy consisted of resident consultations, a communications strategy, a Stadium Liaison Committee, a Stadium Management Plan, and supporter consultations. The case study concludes by emphasizing that the stakeholder management strategy implemented by the football club, while clearly demonstrating evidence of stakeholder engagement, did not extend further with little opportunity for stakeholder participation and a lack of opportunities for involvement in decision-making processes. © 2011 Taylor & Francis.","Arsenal; Football; Stadium redevelopment; Stakeholder Management",
"Chen S., Fan J.","RETRACTED ARTICLE: The relationship between demographic characteristics of entrepreneurs and CSP",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052172325&partnerID=40&md5=26e32828ecde317ee6bb9fed87d0ced8","The depth of research on the relationship between corporate social performance (CSP) and corporate financial performance (CFP) is significant. However, previous research has not paid adequate attention to the antecedents of CSP. In this paper, we examine the relationship between the demographic characteristics of entrepreneurs and corporate social performance based the upper echelons theory. Using a sample of listed companies of manufacturing in China, our findings indicate that entrepreneurs with output functions experience are connected with higher CSP. In addition, entrepreneurs with shorter tenure are more likely to perform higher CSP. © 2011 IEEE.","corporate social performance; corporate social responsibility; demographic characteristics; empirical research; entrepreneur","Industrial research; corporate social performance; Corporate social responsibility; Demographic characteristics; Empirical research; entrepreneur; Population statistics"
"Soana M.-G.","Corporate social responsibility and financial performance: Evidence from the financial sector",2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897141631&partnerID=40&md5=8488258513b3c741575b6af62869800c","Does corporate social responsibility (CSR) entail economic and financial loss or does it guarantee competitive advantage? To answer this question, many studies have aimed to establish, largely in samples from multiple industries, the relationship between corporate social performance (CSP) and corporate financial performance (CFP). These studies have produced conflicting results and any attempt to give a generalised and coherent conclusion has proved inadequate. This paper investigates the possible connection between CSP (measured by ethical rating) and CFP (measured by price-to-book-value) in a sample of international financial intermediaries. Although most previous contributions seem to confirm the hypothesis of the existence of a positive relationship between the two variables, the paper finds no clear evidence of a significant relationship between CSP and CFP in the financial sector.","Corporate financial performance; Corporate social performance; Corporate social responsibility; Ethical rating; Financial companies",
